,Gene name,Gene description,dN with Chimpanzee,dS with Chimpanzee,dN/dS with Chimpanzee,dN with Mouse,dS with Mouse,dN/dS with Mouse,present in DrugBank
8053,DPH7,diphthamide biosynthesis 7 [Source:HGNC Symbol;Acc:HGNC:25199],0.0029,0.0332,0.0873,0.2365,0.8326,0.284,False
8054,CDC27,cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728],0.0051,0.01,0.51,0.0132,0.3058,0.0432,False
8055,FAXDC2,fatty acid hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1334],0.0032,0.0037,0.8649,0.1388,0.74,0.1876,False
8056,DACH1,dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663],0.0,0.0,,0.0114,0.3124,0.0365,False
8057,TGFBRAP1,transforming growth factor beta receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16836],0.0022,0.0158,0.1392,0.0547,0.6338,0.0863,False
8058,INO80B,INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324],0.0013,0.0191,0.0681,0.0264,0.985,0.0268,False
8059,URM1,ubiquitin related modifier 1 [Source:HGNC Symbol;Acc:HGNC:28378],0.0033,0.0158,0.2089,0.1805,0.9434,0.1913,False
8060,UFC1,ubiquitin-fold modifier conjugating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:26941],0.0028,0.022000000000000002,0.1273,0.013999999999999999,0.3684,0.038,False
8061,ZCCHC8,zinc finger CCHC-type containing 8 [Source:HGNC Symbol;Acc:HGNC:25265],0.0046,0.0063,0.7302,0.1468,0.6223,0.2359,False
8062,MS4A5,membrane spanning 4-domains A5 [Source:HGNC Symbol;Acc:HGNC:13374],0.0045,0.0135,0.3333,0.228,0.5121,0.4452,False
8063,ARHGAP5,Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675],0.0,0.0,,0.0122,0.3117,0.0391,False
8064,DYRK1B,dual specificity tyrosine phosphorylation regulated kinase 1B [Source:HGNC Symbol;Acc:HGNC:3092],0.0,0.0,,0.0128,0.3571,0.0358,True
8065,USP21,ubiquitin specific peptidase 21 [Source:HGNC Symbol;Acc:HGNC:12620],0.0009,0.0097,0.0928,0.0178,0.2501,0.0712,False
8066,C3AR1,complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319],0.0075,0.0063,1.1905,0.2364,0.4628,0.5108,False
8067,RIPK4,receptor interacting serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:496],0.0042,0.0471,0.0892,0.0468,0.9424,0.0497,True
8068,IL3,interleukin 3 [Source:HGNC Symbol;Acc:HGNC:6011],0.011000000000000001,0.0059,1.8644,1.0752,1.8984,0.5664,True
8069,ZBTB33,zinc finger and BTB domain containing 33 [Source:HGNC Symbol;Acc:HGNC:16682],0.0007,0.0034,0.2059,0.0591,0.3319,0.1781,False
8070,SGK1,serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810],0.0028,0.0274,0.1022,0.0269,0.5392,0.0499,True
8071,CTPS1,CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519],0.0143,0.017,0.8412,0.0106,0.4364,0.0243,True
8072,ZBBX,zinc finger B-box domain containing [Source:HGNC Symbol;Acc:HGNC:26245],0.0099,0.0121,0.8182,0.2872,0.623,0.461,False
8073,SEC61A2,SEC61 translocon alpha 2 subunit [Source:HGNC Symbol;Acc:HGNC:17702],0.0022,0.0283,0.0777,0.0,0.0,,False
8074,ANKS3,ankyrin repeat and sterile alpha motif domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29422],0.0063,0.0146,0.4315,0.0979,0.6782,0.1444,False
8075,TMEM100,transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607],0.0,0.0,,0.0745,0.5541,0.1345,False
8076,MYH15,myosin heavy chain 15 [Source:HGNC Symbol;Acc:HGNC:31073],0.0047,0.0069,0.6812,0.1462,0.4718,0.3099,False
8077,IRX5,iroquois homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14361],0.0018,0.0193,0.0933,0.0292,0.5198,0.0562,False
8078,OSBPL2,oxysterol binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:15761],0.0009,0.0194,0.0464,0.0496,0.7363,0.0674,False
8079,RNF144A,ring finger protein 144A [Source:HGNC Symbol;Acc:HGNC:20457],0.0015,0.013999999999999999,0.1071,0.0173,0.5635,0.0307,False
8080,CTTNBP2,cortactin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15679],0.0024,0.0046,0.5217,0.0798,0.3682,0.2167,False
8081,ESM1,endothelial cell specific molecule 1 [Source:HGNC Symbol;Acc:HGNC:3466],0.0,0.0,,0.1578,0.4638,0.3402,False
8082,GZMK,granzyme K [Source:HGNC Symbol;Acc:HGNC:4711],0.0034,0.0106,0.3208,0.1754,0.6344,0.2765,False
8083,CD151,CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630],0.0,0.0,,0.036000000000000004,0.9794,0.0368,False
8084,IRX6,iroquois homeobox 6 [Source:HGNC Symbol;Acc:HGNC:14675],0.0057,0.0185,0.3081,0.1382,0.6109,0.2262,False
8085,ITGB7,integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162],0.0027,0.0187,0.1444,0.0755,0.6041,0.125,False
8086,RSRC2,arginine and serine rich coiled-coil 2 [Source:HGNC Symbol;Acc:HGNC:30559],0.0047,0.0096,0.4896,0.0152,0.5584,0.0272,False
8087,GLTP,glycolipid transfer protein [Source:HGNC Symbol;Acc:HGNC:24867],0.0021,0.0235,0.0894,0.0285,0.893,0.0319,True
8088,FBXO6,F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585],0.0031,0.0097,0.3196,0.1943,1.1305,0.1719,False
8089,E2F6,E2F transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3120],0.0,0.0,,0.0687,0.7390000000000001,0.093,False
8090,BICRAL,BRD4 interacting chromatin remodeling complex associated protein like [Source:HGNC Symbol;Acc:HGNC:21111],0.0018,0.0121,0.1488,0.0665,0.494,0.1346,False
8091,HSPB11,heat shock protein family B (small) member 11 [Source:HGNC Symbol;Acc:HGNC:25019],0.1393,0.3202,0.435,0.0855,0.4142,0.2064,False
8092,ZFP42,ZFP42 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:30949],0.0094,0.013999999999999999,0.6714,0.3176,1.1031,0.2879,False
8093,PRSS57,serine protease 57 [Source:HGNC Symbol;Acc:HGNC:31397],0.0074,0.0859,0.0861,0.2083,1.6548,0.1259,False
8094,TCEAL1,transcription elongation factor A like 1 [Source:HGNC Symbol;Acc:HGNC:11616],0.0,0.0,,0.0884,1.3245,0.0667,False
8095,HESX1,HESX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4877],0.0075,0.0,inf,0.1155,0.5034,0.2294,False
8096,APPBP2,amyloid beta precursor protein binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622],0.0009,0.0,inf,0.004,0.4021,0.0099,False
8097,MMP7,matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174],0.0075,0.0242,0.3099,0.217,0.7979,0.272,False
8098,RAB36,"RAB36, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9775]",0.004,0.0176,0.2273,0.0616,0.8178,0.0753,False
8099,RPLP1,ribosomal protein lateral stalk subunit P1 [Source:HGNC Symbol;Acc:HGNC:10372],0.0,0.0,,0.0136,0.4606,0.0295,False
8100,TACO1,translational activator of cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:24316],0.0031,0.0208,0.149,0.1187,0.5457,0.2175,False
8101,MPI,mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216],0.0052,0.0173,0.3006,0.083,0.3646,0.2276,False
8102,CCDC22,coiled-coil domain containing 22 [Source:HGNC Symbol;Acc:HGNC:28909],0.0021,0.016,0.1312,0.0642,0.5865,0.1095,False
8103,MTX2,metaxin 2 [Source:HGNC Symbol;Acc:HGNC:7506],0.0,0.0,,0.0158,0.33399999999999996,0.0473,False
8104,FANCI,FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568],0.005,0.0121,0.4132,0.1138,0.4864,0.234,False
8105,CCDC102A,coiled-coil domain containing 102A [Source:HGNC Symbol;Acc:HGNC:28097],0.0036,0.0536,0.0672,0.0313,1.5703,0.0199,False
8106,OBSL1,obscurin like 1 [Source:HGNC Symbol;Acc:HGNC:29092],0.0059,0.0214,0.2757,0.0629,0.6263,0.1004,False
8107,DNTTIP2,deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013],0.0012,0.0113,0.1062,0.2584,0.5911,0.4372,False
8108,PCTP,phosphatidylcholine transfer protein [Source:HGNC Symbol;Acc:HGNC:8752],0.0062,0.0325,0.1908,0.1585,0.8282,0.1914,False
8109,MAPK6,mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879],0.0,0.0,,0.0255,0.5472,0.0466,False
8110,SNRPG,small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163],0.0,0.0,,0.1178,0.7939,0.1484,False
8111,SHBG,sex hormone binding globulin [Source:HGNC Symbol;Acc:HGNC:10839],0.0038,0.0102,0.3725,0.2376,0.4888,0.4861,True
8112,NFYC,nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806],0.0012,0.0061,0.1967,0.0029,0.3344,0.0087,False
8113,PLS1,plastin 1 [Source:HGNC Symbol;Acc:HGNC:9090],0.0,0.0,,0.0299,0.6475,0.0462,False
8114,PPP1R3F,protein phosphatase 1 regulatory subunit 3F [Source:HGNC Symbol;Acc:HGNC:14944],0.0024,0.0105,0.2286,0.0874,0.3785,0.2309,False
8115,GK2,glycerol kinase 2 [Source:HGNC Symbol;Acc:HGNC:4291],0.0017,0.0229,0.0742,0.0939,0.5870000000000001,0.16,False
8116,CALCOCO1,calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306],0.0014,0.0065,0.2154,0.0561,0.4568,0.1228,False
8117,HIVEP1,human immunodeficiency virus type I enhancer binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4920],0.0056,0.0109,0.5138,0.1786,0.6995,0.2553,False
8118,LEO1,"LEO1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:30401]",0.0,0.0,,0.0292,0.8995,0.0325,False
8119,TKTL2,transketolase like 2 [Source:HGNC Symbol;Acc:HGNC:25313],0.0039,0.0054,0.7222,0.1146,0.6873,0.1667,False
8120,FOXP3,forkhead box P3 [Source:HGNC Symbol;Acc:HGNC:6106],0.0034,0.0134,0.2537,0.0699,0.5903,0.1184,False
8121,RBP1,retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919],0.006999999999999999,0.006999999999999999,1.0,0.0186,0.7028,0.0265,True
8122,MMP20,matrix metallopeptidase 20 [Source:HGNC Symbol;Acc:HGNC:7167],0.0041,0.0089,0.4607,0.057999999999999996,0.384,0.151,False
8123,FURIN,"furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]",0.0011,0.0216,0.0509,0.031,0.5995,0.0517,True
8124,MOG,myelin oligodendrocyte glycoprotein [Source:HGNC Symbol;Acc:HGNC:7197],0.0034,0.0104,0.3269,0.0908,0.5543,0.1638,False
8125,MORF4L2,mortality factor 4 like 2 [Source:HGNC Symbol;Acc:HGNC:16849],0.0944,0.1617,0.5838,0.0219,0.6709999999999999,0.0326,False
8126,ZMYND19,zinc finger MYND-type containing 19 [Source:HGNC Symbol;Acc:HGNC:21146],0.0,0.0,,0.0,0.0,,False
8127,NUDT5,nudix hydrolase 5 [Source:HGNC Symbol;Acc:HGNC:8052],0.0024,0.0176,0.1364,0.0971,0.8245,0.1178,False
8128,TMOD3,tropomodulin 3 [Source:HGNC Symbol;Acc:HGNC:11873],0.0027,0.0099,0.2727,0.057,0.5096,0.1119,False
8129,NMNAT3,nicotinamide nucleotide adenylyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:20989],0.0054,0.0283,0.1908,0.0875,0.6864,0.1275,False
8130,POLR2L,RNA polymerase II subunit L [Source:HGNC Symbol;Acc:HGNC:9199],0.0,0.0,,0.0,0.0,,False
8131,PPM1N,"protein phosphatase, Mg2+/Mn2+ dependent 1N (putative) [Source:HGNC Symbol;Acc:HGNC:26845]",0.0062,0.0198,0.3131,0.1517,0.9696,0.1565,False
8132,TWIST1,twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428],0.0097,0.0368,0.2636,0.0153,0.6354,0.0241,False
8133,INHA,inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065],0.0055,0.0085,0.6471,0.1275,0.4919,0.2592,False
8134,RAB12,"RAB12, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:31332]",0.0,0.0,,0.0183,0.4996,0.0366,False
8135,RASGRP1,RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878],0.0076,0.0247,0.3077,0.0517,0.5488,0.0942,False
8136,GIT2,GIT ArfGAP 2 [Source:HGNC Symbol;Acc:HGNC:4273],0.0207,0.031,0.6677,0.038,0.4754,0.0799,False
8137,TRIML2,tripartite motif family like 2 [Source:HGNC Symbol;Acc:HGNC:26378],0.0076,0.0276,0.2754,0.2823,0.6877,0.4105,False
8138,FERD3L,Fer3 like bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:16660],0.0,0.0,,0.1261,1.2432,0.1014,False
8139,PHLDB2,pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573],0.0026,0.0109,0.2385,0.0626,0.5379999999999999,0.1164,False
8140,EDN1,endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176],0.0196,0.0139,1.4101,0.1591,0.5912,0.2691,False
8141,HEY1,hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880],0.0,0.0,,0.0234,0.4185,0.0559,False
8142,IRAK4,interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967],0.0039,0.0062,0.629,0.0959,1.1183,0.0858,True
8143,MARCH6,membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550],0.0073,0.011000000000000001,0.6636,0.0108,0.3987,0.0271,False
8144,TWISTNB,TWIST neighbor [Source:HGNC Symbol;Acc:HGNC:18027],0.0014,0.0304,0.0461,0.1435,0.6296,0.2279,False
8145,RRN3,"RRN3 homolog, RNA polymerase I transcription factor [Source:HGNC Symbol;Acc:HGNC:30346]",0.0021,0.0133,0.1579,0.0687,0.48200000000000004,0.1425,False
8146,FAM136A,family with sequence similarity 136 member A [Source:HGNC Symbol;Acc:HGNC:25911],0.0,0.0,,0.0436,0.5323,0.0819,False
8147,ANKRD9,ankyrin repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20096],0.0054,0.0329,0.1641,0.0871,2.3941,0.0364,False
8148,SLC25A24,solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662],0.002,0.0049,0.4082,0.0322,0.5791,0.0556,False
8149,TECPR2,tectonin beta-propeller repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:19957],0.0045,0.0128,0.3516,0.1018,0.5866,0.1735,False
8150,RTN2,reticulon 2 [Source:HGNC Symbol;Acc:HGNC:10468],0.0035,0.0089,0.3933,0.0827,0.5459,0.1515,False
8151,AK4,adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363],0.0024,0.0085,0.2824,0.0492,0.4573,0.1076,False
8152,UCHL5,ubiquitin C-terminal hydrolase L5 [Source:HGNC Symbol;Acc:HGNC:19678],0.0168,0.0336,0.5,0.0139,0.4787,0.029,False
8153,MTCL1,microtubule crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:29121],0.0023,0.0244,0.0943,0.0834,0.7988,0.1044,False
8154,MRPL50,mitochondrial ribosomal protein L50 [Source:HGNC Symbol;Acc:HGNC:16654],0.0096,0.0202,0.4752,0.1515,0.5596,0.2707,False
8155,ZNF189,zinc finger protein 189 [Source:HGNC Symbol;Acc:HGNC:12980],0.0,0.0,,0.0315,0.5754,0.0547,False
8156,TSHZ2,teashirt zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:13010],0.026000000000000002,0.0669,0.3886,0.0465,0.6617,0.0703,False
8157,PTPRF,protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670],0.0033,0.0407,0.0811,0.0199,0.6594,0.0302,False
8158,RBP2,retinol binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9920],0.0105,0.0,inf,0.0574,0.6482,0.0886,False
8159,RRP1,ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785],0.0019,0.0351,0.0541,0.2374,1.2723,0.1866,False
8160,GJA3,gap junction protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:4277],0.0018,0.0298,0.0604,0.1319,1.5121,0.0872,False
8161,RAB5B,"RAB5B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9784]",0.0,0.0,,0.0,0.0,,False
8162,NDST1,N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680],0.001,0.027999999999999997,0.0357,0.0099,0.5758,0.0172,False
8163,CCER2,coiled-coil glutamate rich protein 2 [Source:HGNC Symbol;Acc:HGNC:44662],0.0064,0.0183,0.3497,0.2166,1.4180000000000001,0.1528,False
8164,TMEM255A,transmembrane protein 255A [Source:HGNC Symbol;Acc:HGNC:26086],0.0,0.0,,0.0233,0.3389,0.0688,False
8165,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]",0.0031,0.0099,0.3131,0.0574,0.4598,0.1248,False
8166,PPIL6,peptidylprolyl isomerase like 6 [Source:HGNC Symbol;Acc:HGNC:21557],0.0,0.0,,0.168,0.5963,0.2817,False
8167,ALDOB,"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]",0.0014,0.0055,0.2545,0.0217,0.3854,0.0563,False
8168,DIS3,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:20604]",0.0024,0.0095,0.2526,0.0471,0.6061,0.0777,False
8169,MRC1,mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228],0.0025,0.0308,0.0812,0.1028,0.6933,0.1483,False
8170,THY1,Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801],0.0,0.0,,0.2074,0.8602,0.2411,False
8171,FAM219B,family with sequence similarity 219 member B [Source:HGNC Symbol;Acc:HGNC:24695],0.0024,0.0057,0.4211,0.0876,0.4021,0.2179,False
8172,SLC29A1,solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003],0.001,0.015,0.0667,0.1087,0.5954,0.1826,True
8173,MPDU1,mannose-P-dolichol utilization defect 1 [Source:HGNC Symbol;Acc:HGNC:7207],0.0,0.0,,0.045,0.505,0.0891,False
8174,MSRB2,methionine sulfoxide reductase B2 [Source:HGNC Symbol;Acc:HGNC:17061],0.0027,0.0111,0.2432,0.1406,0.809,0.1738,False
8175,ADGRG5,adhesion G protein-coupled receptor G5 [Source:HGNC Symbol;Acc:HGNC:19010],0.005,0.0285,0.1754,0.2016,1.1183,0.1803,False
8176,GCLM,glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312],0.0,0.0,,0.0199,0.3129,0.0636,True
8177,CSF3R,colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439],0.0059,0.0249,0.2369,0.2515,0.6702,0.3753,False
8178,COMMD8,COMM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26036],0.0,0.0,,0.1381,0.9732,0.1419,False
8179,ARMC3,armadillo repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:30964],0.0047,0.0172,0.2733,0.0946,0.8686,0.1089,False
8180,USP2,ubiquitin specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12618],0.0034,0.0109,0.3119,0.053,0.4755,0.1115,False
8181,HMOX1,heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013],0.0,0.0,,0.1002,0.9243,0.1084,True
8182,PPWD1,peptidylprolyl isomerase domain and WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28954],0.0022,0.0078,0.2821,0.0147,0.4816,0.0305,False
8183,PROX2,prospero homeobox 2 [Source:HGNC Symbol;Acc:HGNC:26715],0.013000000000000001,0.0121,1.0744,0.2199,0.5476,0.4016,False
8184,FEZF1,FEZ family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:22788],0.0009,0.0145,0.0621,0.0274,0.4669,0.0587,False
8185,EPOP,elongin BC and polycomb repressive complex 2 associated protein [Source:HGNC Symbol;Acc:HGNC:34493],0.0013,0.0144,0.0903,0.1559,0.4809,0.3242,False
8186,YLPM1,YLP motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17798],0.0011,0.0075,0.1467,0.0542,0.3162,0.1714,False
8187,CAMSAP1,calmodulin regulated spectrin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19946],0.0023,0.0135,0.1704,0.0787,0.7779,0.1012,False
8188,TANGO6,transport and golgi organization 6 homolog [Source:HGNC Symbol;Acc:HGNC:25749],0.0045,0.0124,0.3629,0.1079,0.4732,0.228,False
8189,CLEC4E,C-type lectin domain family 4 member E [Source:HGNC Symbol;Acc:HGNC:14555],0.0059,0.0,inf,0.2161,0.3583,0.6031,True
8190,MLLT6,"MLLT6, PHD finger containing [Source:HGNC Symbol;Acc:HGNC:7138]",0.0016,0.0038,0.4211,0.0389,0.4649,0.0837,False
8191,PHF20,PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098],0.001,0.0026,0.3846,0.055999999999999994,0.4616,0.1213,False
8192,TLR4,toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850],0.0018,0.0036,0.5,0.2455,0.595,0.4126,True
8193,TRPC1,transient receptor potential cation channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:12333],0.0007,0.0075,0.0933,0.0012,0.43700000000000006,0.0027,False
8194,ECT2,epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155],0.0185,0.0506,0.3656,0.0436,0.6164,0.0707,False
8195,FBXO32,F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731],0.0012,0.0046,0.2609,0.0146,0.4893,0.0298,False
8196,NPAS4,neuronal PAS domain protein 4 [Source:HGNC Symbol;Acc:HGNC:18983],0.0005,0.0037,0.1351,0.0352,0.3284,0.1072,False
8197,BORA,BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724],0.0028,0.0068,0.4118,0.1614,0.7896,0.2044,False
8198,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit [Source:HGNC Symbol;Acc:HGNC:1958],0.0897,0.2762,0.3248,0.0812,1.1764,0.069,True
8199,ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132],0.0,0.0,,0.0,0.0,,False
8200,ZNF8,zinc finger protein 8 [Source:HGNC Symbol;Acc:HGNC:13154],0.0043,0.0113,0.3805,0.1558,0.6197,0.2514,False
8201,CYP26A1,cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603],0.0009,0.0054,0.1667,0.0306,0.4422,0.0692,True
8202,TMEM246,transmembrane protein 246 [Source:HGNC Symbol;Acc:HGNC:28180],0.0,0.0,,0.0081,0.687,0.0118,False
8203,SERPINI2,serpin family I member 2 [Source:HGNC Symbol;Acc:HGNC:8945],0.0034,0.0121,0.281,0.1328,0.5663,0.2345,False
8204,CYP26C1,cytochrome P450 family 26 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:20577],0.0008,0.017,0.0471,0.0688,0.9674,0.0711,True
8205,SCAF8,SR-related CTD associated factor 8 [Source:HGNC Symbol;Acc:HGNC:20959],0.0069,0.0197,0.3503,0.0418,0.4557,0.0917,False
8206,POLG,"DNA polymerase gamma, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9179]",0.0029,0.0168,0.1726,0.069,0.4401,0.1568,False
8207,ATG4D,autophagy related 4D cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20789],0.0027,0.0135,0.2,0.0699,0.7264,0.0962,False
8208,CRYBG2,crystallin beta-gamma domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17295],0.0083,0.0144,0.5764,0.1788,0.6719,0.2661,False
8209,GJB2,gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284],0.0,0.0,,0.0337,0.8719,0.0387,False
8210,BCR,BCR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:1014],0.001,0.0231,0.0433,0.026000000000000002,0.7067,0.0368,True
8211,ST7,suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351],0.0,0.0,,0.0324,0.4009,0.0808,False
8212,FMNL1,formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212],0.0008,0.0169,0.0473,0.0679,0.7294,0.0931,False
8213,SLMAP,sarcolemma associated protein [Source:HGNC Symbol;Acc:HGNC:16643],0.0012,0.0086,0.1395,0.0262,0.2994,0.0875,False
8214,PHF21B,PHD finger protein 21B [Source:HGNC Symbol;Acc:HGNC:25161],0.0026,0.0206,0.1262,0.0609,0.4523,0.1346,False
8215,PIBF1,progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352],0.003,0.0103,0.2913,0.0632,0.5823,0.1085,False
8216,TMED8,transmembrane p24 trafficking protein family member 8 [Source:HGNC Symbol;Acc:HGNC:18633],0.0207,0.0647,0.3199,0.0739,0.4446,0.1662,False
8217,LRRC6,leucine rich repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:16725],0.0062,0.0116,0.5345,0.1175,0.5858,0.2006,False
8218,WDR49,WD repeat domain 49 [Source:HGNC Symbol;Acc:HGNC:26587],0.006,0.0107,0.5607,0.1403,0.5015,0.2798,False
8219,PLB1,phospholipase B1 [Source:HGNC Symbol;Acc:HGNC:30041],0.0033,0.0154,0.2143,0.2164,0.6017,0.3596,False
8220,FGF14,fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671],0.0,0.0,,0.0093,0.1544,0.0602,False
8221,MS4A1,membrane spanning 4-domains A1 [Source:HGNC Symbol;Acc:HGNC:7315],0.0049,0.0161,0.3043,0.1491,0.3884,0.3839,False
8222,KRI1,KRI1 homolog [Source:HGNC Symbol;Acc:HGNC:25769],0.0041,0.0369,0.1111,0.1092,2.276,0.048,False
8223,TRPC3,transient receptor potential cation channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:12335],0.001,0.0126,0.0794,0.0294,0.6589,0.0446,False
8224,SMPD2,sphingomyelin phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:11121],0.0046,0.0107,0.4299,0.141,0.5284,0.2668,False
8225,UBAC1,UBA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30221],0.0012,0.0245,0.049,0.0542,0.7263,0.0746,False
8226,SLC39A12,solute carrier family 39 member 12 [Source:HGNC Symbol;Acc:HGNC:20860],0.0044,0.0106,0.4151,0.1429,0.5116,0.2793,False
8227,RO60,"Ro60, Y RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11313]",0.0008,0.0104,0.0769,0.0546,0.6672,0.0818,False
8228,ITGBL1,integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164],0.0021,0.0019,1.1053,0.0505,0.4492,0.1124,False
